date,mean,std,curv_z,ci_lower,ci_upper,ci_mid,pnl_no_fees_pred,pnl_pred,signal
2005-09-21,4.537779762022066e-05,4.833293281437863e-05,-0.6602636208749534,3375.4866692641376,6978.890501505613,5177.188585384875,-3418.3092813386957,-886.0140210896552,-1
2005-10-19,4.487850379570206e-05,4.886610032501338e-05,-1.3021428391442642,6257.601238478717,9520.0085320836,7888.804885281159,-10272.35079077515,-8674.517447520699,-1
2005-11-16,4.450355406974202e-05,4.9105419642945784e-05,-0.8191785635799846,6738.248877239308,9813.858704564678,8276.053790901993,-6779.565856541782,-4317.409185657962,-1
2005-12-14,4.312833471492148e-05,4.924795379544101e-05,-0.8135764932476585,5351.724248832456,8391.878068791282,6871.80115881187,-5590.735889081357,-3105.5412398448834,-1
2006-01-11,4.101390408970227e-05,4.903437799357329e-05,-1.0003135582009854,5324.371689253492,8110.081870132079,6717.226779692785,-6719.333021237437,-4390.731361688861,-1
2006-02-08,3.855959205027599e-05,4.948974639257722e-05,-1.445737405034931,6973.7352649825125,9421.675449974828,8197.70535747867,-11851.729270762164,-9899.375125003662,-1
2006-03-08,3.6389844080380556e-05,4.886569400348304e-05,-0.8483727004710458,7041.4245266583375,9357.004168899308,8199.214347778823,-6955.989617966065,-4216.333403963679,-1
2006-04-05,3.379254938982989e-05,4.5398804190212545e-05,-0.09974636795837293,7082.144106523547,9385.603306308773,8233.87370641616,-821.2989964429581,0.0,0
2006-05-03,2.9940693335269258e-05,4.0664536602188975e-05,-1.139807812550157,7777.306257604852,9878.580238938584,8827.943248271718,-10062.158683129515,-7537.789442121534,-1
2006-05-31,2.7207852360964062e-05,3.826698687623901e-05,-0.9336915848677005,7558.374481080472,9528.55657207047,8543.465526575472,-7976.961867770816,-5174.839596153762,-1
2006-06-28,2.4581916138013986e-05,3.634199290351133e-05,-1.104520786197195,8855.614100693569,10766.121421107513,9810.86776090054,-10836.30737254658,-8169.511405211872,-1
2006-07-26,2.2660767587531015e-05,3.5672284491605424e-05,-1.0282116594581863,5323.091293770667,7830.580629041351,6576.835961406009,-6762.379417861549,-4329.600811983475,-1
2006-08-23,2.1586187579312505e-05,3.6167366182615684e-05,-1.2064069378662774,3131.039586343609,5627.591107194231,4379.31534676892,-5283.236417446287,-3067.2714640694257,-1
2006-09-20,2.0769159681150064e-05,3.688937690045603e-05,-1.4230031764736253,1674.7934863673615,3973.1862870613395,2823.9898867143506,-4018.5465791239144,-1931.9632160854753,-1
2006-10-18,1.9623595869083572e-05,3.806023765393116e-05,-1.7545250212831331,1538.617280548852,3504.8762927409653,2521.7467866449088,-4424.467834508831,-2427.4996609918308,-1
2006-11-15,1.8600100743711236e-05,3.909865172132083e-05,-1.6493713377600023,1324.7842195495118,3070.442753232945,2197.6134863912284,-3624.680695928523,-1342.4067802910668,-1
2006-12-13,1.693121836543387e-05,4.028270750190573e-05,-1.742065366510663,330.66262919488963,1934.6484283643263,1132.655528779608,-1973.1599688737765,0.0,0
2007-01-10,1.588658244651793e-05,4.13269267299552e-05,-1.6125651440887439,928.7094380011785,2404.912438982657,1666.8109384919178,-2687.841221197914,-156.18448256462034,-1
2007-02-07,1.4454671980470535e-05,4.2271285692674706e-05,-1.5033965089991637,1146.7076516114366,2510.068255931635,1828.3879537715359,-2748.792066796251,-51.734362192979006,-1
2007-03-07,1.3055301208877747e-05,4.3453987922998635e-05,-1.6388229424066574,-241.63561286639572,1155.069819149444,456.71710314152403,-748.4784668178372,0.0,0
2007-04-04,1.2043301381029819e-05,4.393587326523938e-05,-1.0518090656260488,147.25207427121018,1515.0580681882545,831.1550712297324,-874.2164388604969,0.0,0
2007-05-02,1.0828558881832574e-05,4.459115674925535e-05,-1.21984637881262,214.29297156203233,1509.050466739584,861.6717191508081,-1051.1071263313581,0.0,0
2007-05-30,9.89788747366475e-06,4.5367006793195944e-05,-1.333736701091318,525.3779147064148,1748.3736332018757,1136.8757739541452,-1516.2929443042406,0.0,0
2007-06-27,1.0406968880305189e-05,4.4808981526101534e-05,-0.7920467392758088,351.39684074033937,1552.9986440072284,952.197742373784,-754.1851169929422,0.0,0
