date,1,-1,0,pnl_no_fees,signal,pnl,pnl_pct,pnl_no_fees_pct,long_pnl_pct,short_pnl_pct,same_sig
2008-05-28,-28931.719647356393,21487.93266510787,0,-25209.826156232135,1,-25209.826156232135,-1.2604913078116067,-1.2604913078116067,-1.4465859823678195,1.0743966332553936,True
2008-06-25,-23955.846257460078,16512.05927521156,0,-20233.95276633582,-1,16512.05927521156,0.825602963760578,-1.011697638316791,-1.197792312873004,0.825602963760578,False
2008-07-23,17264.822831617286,-24708.60981386581,0,20986.716322741548,-1,-20986.716322741548,-1.0493358161370774,1.0493358161370774,0.8632411415808643,-1.2354304906932905,True
2008-08-20,35140.41671282567,-42584.20369507419,0,38862.31020394993,-1,-38862.31020394993,-1.9431155101974964,1.9431155101974964,1.7570208356412833,-2.1292101847537093,True
2008-09-17,56118.50280889943,-63562.289791147945,0,59840.39630002369,-1,-59840.39630002369,-2.9920198150011847,2.9920198150011847,2.8059251404449714,-3.178114489557397,True
2008-10-15,42423.6904890914,-49867.47747133993,0,46145.58398021567,1,42423.6904890914,2.12118452445457,2.3072791990107833,2.12118452445457,-2.4933738735669966,False
2008-11-12,17804.336391527344,-25248.123373775867,0,21526.229882651605,1,21526.229882651605,1.0763114941325802,1.0763114941325802,0.8902168195763671,-1.2624061686887935,True
2008-12-10,55761.187866299806,-63204.97484854833,0,59483.081357424075,0,0.0,0.0,2.9741540678712037,2.7880593933149904,-3.1602487424274166,False
2009-01-07,6106.441012879873,-13550.227995128389,0,9828.33450400413,-1,-13550.227995128389,-0.6775113997564195,0.49141672520020646,0.30532205064399365,-0.6775113997564195,False
2009-02-04,-7662.605241050883,218.81825880236192,0,-3940.7117499266215,-1,3940.7117499266215,0.19703558749633107,-0.19703558749633107,-0.38313026205254413,0.010940912940118097,True
2009-03-04,-14805.661521080376,7361.874538831854,0,-11083.768029956114,-1,11083.768029956114,0.5541884014978057,-0.5541884014978057,-0.7402830760540188,0.3680937269415927,True
2009-04-01,14207.071004650694,-21650.857986899216,0,17928.964495774955,-1,-17928.964495774955,-0.8964482247887477,0.8964482247887477,0.7103535502325347,-1.0825428993449608,True
2009-04-29,8997.209275493482,-16440.996257742,0,12719.102766617742,-1,-12719.102766617742,-0.6359551383308871,0.6359551383308871,0.4498604637746741,-0.8220498128871,True
2009-05-27,2787.1704977246427,-10230.957479973164,0,6509.063988848904,-1,-6509.063988848904,-0.32545319944244516,0.32545319944244516,0.13935852488623213,-0.5115478739986582,True
2009-06-24,-537.6644980583978,-6906.122484190124,0,3184.2289930658626,-1,-3184.2289930658626,-0.15921144965329312,0.15921144965329312,-0.026883224902919892,-0.3453061242095062,True
2009-07-22,4051.3034282067138,-11495.090410455232,0,7773.196919330972,-1,-7773.196919330972,-0.3886598459665486,0.3886598459665486,0.2025651714103357,-0.5747545205227617,True
2009-08-19,4224.907527811262,-11668.69451005978,0,7946.801018935522,0,0.0,0.0,0.3973400509467761,0.21124537639056312,-0.583434725502989,False
2009-09-16,5150.19154175208,-12593.978524000599,0,8872.08503287634,0,0.0,0.0,0.44360425164381706,0.257509577087604,-0.6296989262000299,True
2009-10-14,3795.926837584203,-11239.713819832723,0,7517.820328708463,-1,-11239.713819832723,-0.5619856909916361,0.37589101643542316,0.18979634187921016,-0.5619856909916361,False
2009-11-11,2098.120557006081,-9541.907539254602,0,5820.0140481303415,0,0.0,0.0,0.29100070240651704,0.10490602785030406,-0.4770953769627301,False
2009-12-09,1998.920818761454,-9442.707801009976,0,5720.814309885714,0,0.0,0.0,0.28604071549428567,0.0999460409380727,-0.47213539005049876,True
2010-01-06,-6851.315057578627,-592.4719246698951,0,-3129.421566454366,0,0.0,0.0,-0.1564710783227183,-0.3425657528789314,-0.029623596233494753,True
2010-02-03,5460.730836260332,-12904.517818508852,0,9182.62432738459,0,0.0,0.0,0.4591312163692295,0.27303654181301656,-0.6452258909254426,True
2010-03-03,1720.9797283188846,-9164.766710567408,0,5442.873219443147,0,0.0,0.0,0.2721436609721573,0.08604898641594422,-0.4582383355283704,True
2010-03-31,-7497.57708781955,53.79010557102902,0,-3775.6835966952895,0,0.0,0.0,-0.18878417983476448,-0.37487885439097746,0.002689505278551451,True
2010-04-28,-1628.1010151634077,-5815.685967085114,0,2093.792475960853,0,0.0,0.0,0.10468962379804266,-0.08140505075817038,-0.2907842983542557,True
2010-05-26,5326.342454350551,-12770.129436599069,0,9048.235945474811,0,0.0,0.0,0.4524117972737406,0.26631712271752755,-0.6385064718299535,True
2010-06-23,5287.818150298958,-12731.605132547476,0,9009.711641423217,0,0.0,0.0,0.45048558207116085,0.2643909075149479,-0.6365802566273738,True
2010-07-21,1534.3224186625457,-8978.109400911067,0,5256.215909786807,0,0.0,0.0,0.2628107954893404,0.07671612093312728,-0.4489054700455534,True
2010-08-18,-436.4812595315466,-7007.305722716974,0,3285.412231592714,0,0.0,0.0,0.1642706115796357,-0.02182406297657733,-0.35036528613584866,True
2010-09-15,-3318.050670423207,-4125.736311825314,0,403.8428207010535,0,0.0,0.0,0.020192141035052676,-0.16590253352116036,-0.20628681559126572,True
2010-10-13,1459.1715407639958,-8902.958523012516,0,5181.065031888256,0,0.0,0.0,0.25905325159441284,0.07295857703819979,-0.4451479261506258,True
2010-11-10,-3930.8937597991844,-3512.8932224493365,0,-209.0002686749241,0,0.0,0.0,-0.010450013433746205,-0.19654468798995922,-0.17564466112246682,True
2010-12-08,-6851.896475150197,-591.8905070983237,0,-3130.002984025937,0,0.0,0.0,-0.15650014920129685,-0.3425948237575099,-0.029594525354916187,True
2011-01-05,-1725.5373908207657,-5718.249591427755,0,1996.3561003034947,0,0.0,0.0,0.09981780501517473,-0.08627686954103829,-0.28591247957138777,True
2011-02-02,1345.3843736875142,-8789.171355936034,0,5067.277864811775,0,0.0,0.0,0.2533638932405887,0.06726921868437571,-0.4394585677968017,True
2011-03-02,-135.24473798999907,-7308.542244258521,0,3586.648753134261,0,0.0,0.0,0.17933243765671303,-0.006762236899499953,-0.36542711221292606,True
2011-03-30,-4982.793834880813,-2460.993147367709,0,-1260.9003437565516,0,0.0,0.0,-0.06304501718782758,-0.24913969174404063,-0.12304965736838544,True
2011-04-27,6685.819507441161,-14129.606489689682,0,10407.712998565421,0,0.0,0.0,0.5203856499282711,0.33429097537205804,-0.7064803244844842,True
2011-05-25,2157.939834444641,-9601.72681669316,0,5879.8333255689,0,0.0,0.0,0.29399166627844503,0.10789699172223204,-0.480086340834658,True
2011-06-22,-31.375055398290897,-7412.411926850231,0,3690.5184357259695,0,0.0,0.0,0.18452592178629848,-0.0015687527699145447,-0.37062059634251154,True
