date,1,-1,0,signal,pnl,pnl_pct,long_pnl_pct,short_pnl_pct
2006-05-03,-1972.1733249827828,-4733.1521188042,0,0,0.0,0.0,-0.09860866624913914,-0.23665760594021
2006-05-31,-900.0110503956016,-5805.314393391381,0,1,-900.0110503956016,-0.04500055251978008,-0.04500055251978008,-0.29026571966956904
2006-06-28,-260.5602102276375,-6444.765233559345,0,0,0.0,0.0,-0.013028010511381876,-0.32223826167796726
2006-07-26,-5205.795427530675,-1499.5300162563058,0,0,0.0,0.0,-0.26028977137653375,-0.07497650081281529
2006-08-23,-4167.064179932624,-2538.2612638543587,0,1,-4167.064179932624,-0.2083532089966312,-0.2083532089966312,-0.12691306319271795
2006-09-20,-511.80018316986434,-6193.525260617111,0,1,-511.80018316986434,-0.025590009158493215,-0.025590009158493215,-0.3096762630308555
2006-10-18,-3777.4979244387214,-2927.827519348261,0,1,-3777.4979244387214,-0.18887489622193607,-0.18887489622193607,-0.14639137596741303
2006-11-15,-3971.22855043728,-2734.0968933497024,0,1,-3971.22855043728,-0.19856142752186398,-0.19856142752186398,-0.13670484466748514
2006-12-13,-2265.029673410837,-4440.2957703761385,0,1,-2265.029673410837,-0.11325148367054184,-0.11325148367054184,-0.22201478851880693
2007-01-10,-3001.7204082081885,-3703.605035578794,0,1,-3001.7204082081885,-0.15008602041040944,-0.15008602041040944,-0.18518025177893968
2007-02-07,-2539.61174866362,-4165.713695123362,0,1,-2539.61174866362,-0.126980587433181,-0.126980587433181,-0.2082856847561681
2007-03-07,-5724.665371102319,-980.660072684655,0,1,-5724.665371102319,-0.286233268555116,-0.286233268555116,-0.04903300363423275
2007-04-04,-3075.2065358831496,-3630.118907903826,0,1,-3075.2065358831496,-0.15376032679415746,-0.15376032679415746,-0.1815059453951913
2007-05-02,329.314760935481,-7034.6402047224565,0,1,329.314760935481,0.01646573804677405,0.01646573804677405,-0.3517320102361228
2007-05-30,-817.0543869024204,-5888.271056884561,0,1,-817.0543869024204,-0.04085271934512102,-0.04085271934512102,-0.29441355284422804
2007-06-27,918.3494265220725,-7623.674870309055,0,0,0.0,0.0,0.045917471326103625,-0.38118374351545276
2007-07-25,-3729.9296671515403,-2975.395776635442,0,1,-3729.9296671515403,-0.18649648335757701,-0.18649648335757701,-0.1487697888317721
2007-08-22,10048.40669914483,-16753.73214293181,0,1,10048.40669914483,0.5024203349572416,0.5024203349572416,-0.8376866071465905
